Raw GPS Onboard Data Storage
633438414.2809887,47.3977632,8.5455872,486.749
633438414.4804599,47.397728,8.5455816,488.633
633438414.6805567,47.3977312,8.5455616,490.521
633438414.8804436,47.39776,8.5455816,490.023
633438415.0797496,47.3977728,8.5456376,494.517
633438415.2793393,47.397744,8.5455656,490.327
633438415.4783448,47.3977536,8.5456136,497.833
633438415.6778845,47.3977184,8.545596,490.889
633438415.8774055,47.3977568,8.5455544,489.674
633438416.077413,47.3977408,8.5455944,494.215
633438416.2772712,47.397792,8.5455672,491.744
633438416.4767905,47.3977088,8.5455704,495.031
633438416.6759944,47.3977248,8.5455976,497.22
633438416.8758187,47.397728,8.5455944,497.923
633438417.2759975,47.3977312,8.54552,495.05
633438417.4757786,47.3977344,8.5455624,493.411
633438417.674929,47.397712,8.5456096,496.825
633438418.0748843,47.3977088,8.5455408,497.777
633438418.4744656,47.3977568,8.545544,491.534
633438418.6737367,47.3977312,8.5455984,494.905
633438419.0738581,47.3977184,8.545636,496.93
633438419.2741106,47.397728,8.545568,498.857
633438419.4726286,47.3977376,8.5455624,497.847
633438419.671262,47.397744,8.5455816,496.426
633438419.8709216,47.3977152,8.5455512,495.096
633438420.0702319,47.3977024,8.5455792,496.545
633438420.2701575,47.3977312,8.5455696,498.066
633438420.470299,47.3977728,8.5455904,497.033
633438420.6695479,47.3977472,8.5455832,498.727
633438420.8697,47.3977856,8.5456192,502.619
633438421.0696123,47.3977344,8.5455944,497.721
633438421.2695631,47.397728,8.5455664,497.837
633438421.4696479,47.39776,8.5455688,497.297
633438421.6694006,47.3977664,8.545592,496.397
633438421.8696755,47.3977728,8.5456144,497.183
633438422.0688281,47.3977536,8.545608,497.698
633438422.2670951,47.3978464,8.5456096,501.362
633438422.4664147,47.3978144,8.5455816,496.741
633438422.6663916,47.397808,8.54562,498.382
633438422.8659937,47.3978496,8.5456032,495.032
633438423.0660639,47.3978368,8.5455776,494.775
633438423.2659148,47.39784,8.545596,499.188
633438423.4666015,47.397856,8.5456248,496.81
633438423.665812,47.3978688,8.5455912,498.449
633438423.8660357,47.3978624,8.5455752,498.633
633438424.0658724,47.397872,8.545604,499.327
633438424.264856,47.397856,8.5455608,493.181
633438424.4648628,47.3978912,8.5455856,496.252
